일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1999-07-27 12:00,25,255.8,4.8,35.5
1999-07-27 13:00,25.1,181.5,5.4,35.5
1999-07-27 14:00,25.4,195.2,4.2,35.5
1999-07-27 15:00,24.9,160.6,4.5,35.5
1999-07-27 16:00,24.3,190.3,3.8,35.5
1999-07-27 17:00,23.9,180.5,4,35.5
1999-07-27 18:00,24.7,150.2,5.8,35.5
1999-07-27 19:00,23.9,128,5.9,35.5
1999-07-27 20:00,23.6,136,5.4,35.5
1999-07-27 21:00,23.9,140.1,5.3,35.5
1999-07-27 22:00,24.6,125,6.1,35.5
1999-07-27 23:00,24.7,123.1,5.4,35.5
1999-07-28 0:00,24.9,114.4,5.8,0
1999-07-28 1:00,25.1,116.7,4.5,0
1999-07-28 2:00,25.4,120,4.7,0
1999-07-28 3:00,25.1,119.3,3.3,0
1999-07-28 4:00,24.8,83.9,2.7,0
1999-07-28 5:00,24.8,99.6,2.6,0
1999-07-28 6:00,24.7,355.4,1.8,0
1999-07-28 7:00,24.8,81.6,2.3,0
1999-07-28 8:00,25.1,23.3,1.5,0
1999-07-28 9:00,25.2,338.7,1.8,0
1999-07-28 10:00,25.9,21.4,1.1,0
1999-07-28 11:00,25.9,0.4,1.7,0
1999-07-28 12:00,26.5,42,1.5,0
1999-07-28 13:00,26.4,88.2,2.1,0
1999-07-28 14:00,26.2,143.9,1.8,0
1999-07-28 15:00,28.8,17.5,1.4,0
1999-07-28 16:00,28.4,135.2,2,0
1999-07-28 17:00,28.5,144.7,1.9,0
1999-07-28 18:00,27.4,321,1.4,0
1999-07-28 19:00,26.4,61.8,0.7,0
1999-07-28 20:00,25.3,132.8,0.6,0
1999-07-28 21:00,24.7,166.3,1.3,0
1999-07-28 22:00,24.3,,,0
1999-07-28 23:00,24.3,179.2,1.4,0
1999-07-29 0:00,24.3,198.3,0.8,111
1999-07-29 1:00,24.2,198.6,1.4,111
1999-07-29 2:00,24,184.3,1,111
1999-07-29 3:00,23.9,0,0.2,111
1999-07-29 4:00,24,181.3,1.4,111
1999-07-29 5:00,24.2,167.1,1.1,111
1999-07-29 6:00,24.4,0,0.2,111
1999-07-29 7:00,24.1,0,0,111
1999-07-29 8:00,24.2,0,0,111
1999-07-29 9:00,24,154.8,2.4,111
1999-07-29 10:00,24.1,134.6,1.8,111
1999-07-29 11:00,24.5,105.9,2,111
1999-07-29 12:00,24.1,103.7,1.9,111
1999-07-29 13:00,23.9,126.2,3.9,111
1999-07-29 14:00,24.8,61.2,2.3,111
1999-07-29 15:00,24.6,42.6,2.9,111
1999-07-29 16:00,24.6,47.9,2.2,111
1999-07-29 17:00,24.5,127.4,3.3,111
1999-07-29 18:00,24.6,99.3,2.3,111
1999-07-29 19:00,24.3,98.8,2.6,111
1999-07-29 20:00,24.3,128.3,3.1,111
1999-07-29 21:00,24.5,54.2,2.8,111
1999-07-29 22:00,23.6,100.4,2.4,111
1999-07-29 23:00,23.7,74.4,2.1,111
1999-07-30 0:00,23.8,102.7,3.8,105.5
1999-07-30 1:00,24.2,42.3,3.1,105.5
1999-07-30 2:00,24.3,58.4,3.8,105.5
1999-07-30 3:00,24.6,74.8,3.7,105.5
1999-07-30 4:00,23.7,93.2,4.5,105.5
1999-07-30 5:00,23.4,131.4,3.5,105.5
1999-07-30 6:00,24,108.3,3.6,105.5
1999-07-30 7:00,23.6,85.6,1.9,105.5
1999-07-30 8:00,24.1,42.4,1.9,105.5
